"","Tsukuba2007","Fukuoka2008","HaNoi2008","Ishigaki2008","Ishikawa2008","ThaiNguyn2008","Tsukuba2008L","Tsukuba2008","Tsukuba2009"
"L1",89,78,71,NA,101,72,116,76,101
"L2",80,74,69,NA,88,68,103,69,88
"L3",87,69,64,NA,93,63,118,69,96
"L4",93,78,62,NA,105,61,124,68,105
"L5",78,66,71,NA,82,66,96,61,81
"L6",93,76,68,NA,103,64,125,69,103
"L7",81,71,76,NA,87,79,105,70,85
"L8",87,77,65,NA,97,64,116,70,96
"L9",98,84,69,NA,108,64,128,75,108
"L10",94,90,71,71,106,73,123,80,108
"L11",83,70,55,59,89,NA,109,61,92
"L12",92,70,64,NA,97,NA,123,65,99
"L13",87,74,65,65,100,NA,118,68,100
"L14",96,87,62,66,116,60,130,76,112
"L15",85,71,59,61,92,57,109,60,94
"L16",86,71,64,62,96,60,117,63,99
"L17",93,78,63,63,101,60,121,69,102
"L18",76,65,63,62,83,60,98,58,81
"L19",80,71,65,68,88,61,107,68,88
"L20",81,67,61,60,87,NA,108,60,89
"L21",82,76,NA,79,92,78,112,75,92
"L22",76,70,67,68,85,65,104,62,81
"L23",80,77,75,76,86,NA,105,72,84
"L24",79,70,76,74,83,78,101,65,82
"L25",81,69,76,76,89,75,109,69,87
"L26",74,66,68,66,82,66,98,61,78
"L27",81,73,72,74,89,71,107,68,87
"L28",82,78,70,71,88,68,103,71,88
"L29",82,69,69,71,87,66,103,64,85
"L30",82,75,73,71,87,72,101,69,87
"L31",89,82,71,76,99,71,115,76,99
"L32",79,71,71,73,89,71,103,65,86
"L33",83,70,64,59,91,59,111,61,94
"L34",99,89,65,65,114,61,136,78,112
"L35",83,71,63,63,95,62,113,63,98
"L36",97,81,65,67,106,60,130,72,106
"L37",88,71,67,68,93,62,111,68,93
"L38",72,63,61,59,80,59,95,55,77
"L39",77,70,68,69,85,66,106,58,85
"L40",75,65,66,64,81,58,97,63,80
"L41",81,65,61,59,87,NA,106,60,88
"L42",77,68,71,69,85,70,101,63,83
"L43",95,82,65,64,106,65,129,73,108
"L44",87,75,75,75,94,74,111,69,90
"L45",81,71,68,69,88,64,107,69,87
"L46",83,68,52,59,89,57,109,61,92
"L47",84,83,67,68,93,70,109,74,91
"L48",86,74,60,60,97,NA,118,66,101
"L49",84,74,60,60,100,58,118,65,102
"L50",91,76,63,62,101,60,122,68,102
"L51",102,88,67,64,116,64,138,78,115
"L52",85,69,60,58,93,59,110,63,94
"L53",98,96,62,60,123,57,131,80,116
"L54",75,64,68,65,82,64,97,58,80
"L55",90,77,66,63,104,61,120,69,101
"L56",82,69,66,66,91,64,109,65,87
"L57",82,71,65,62,95,64,111,63,94
"L58",79,70,70,65,85,70,97,64,84
"L59",84,81,81,80,92,NA,109,75,90
"L60",95,80,65,64,105,60,127,69,102
"L61",82,75,78,75,87,77,104,69,85
"L62",79,65,66,63,87,66,106,58,84
"L63",81,74,76,75,87,77,103,68,85
"L64",79,76,68,66,88,66,106,69,89
"L65",79,73,73,70,86,75,103,64,83
"L66",80,68,69,65,83,66,101,62,81
"L67",77,69,73,73,82,72,98,66,80
"L68",86,69,61,60,88,61,110,62,93
"L69",77,67,71,65,87,67,101,60,82
"L70",81,76,84,75,85,84,102,75,85
"L71",88,84,74,79,98,70,115,80,101
"L72",77,64,64,63,86,NA,103,60,83
"L73",95,83,64,65,108,58,124,75,108
"L74",81,67,73,72,88,71,105,66,85
"L75",88,76,64,64,97,61,113,69,101
"L76",85,71,63,60,92,59,111,64,94
"L77",95,83,68,66,103,61,124,72,105
"L78",110,103,77,76,129,80,148,94,123
"L79",103,97,72,73,115,67,133,88,113
"L80",111,106,83,89,124,81,145,97,122
"L81",96,83,68,66,110,64,131,70,110
"L82",109,105,88,90,120,85,137,91,116
"L83",125,111,84,88,140,83,159,106,141
"L84",94,75,60,60,103,57,123,68,105
"L85",83,77,71,76,91,67,108,73,90
"L86",86,82,79,78,91,75,106,75,90
"L87",82,79,75,75,89,71,103,72,88
"L88",83,77,67,66,91,63,107,70,88
"L89",86,72,62,60,100,63,114,68,95
"L90",127,111,79,80,149,76,166,89,145
"L91",101,105,68,67,124,67,134,89,116
"L92",99,86,71,70,111,67,136,77,112
"L93",101,89,69,71,116,66,136,76,114
"L94",94,NA,62,63,110,59,126,77,108
"L95",84,71,65,63,98,63,113,65,94
"L96",98,84,63,68,113,60,133,77,110
"L97",110,105,72,74,131,69,141,88,125
"L98",94,76,62,64,104,58,123,68,103
"L99",90,89,74,79,102,71,119,77,98
"L100",120,105,73,79,139,NA,157,90,137
"L101",109,90,65,66,120,NA,140,80,117
"L102",104,92,79,84,115,NA,125,88,108
"L103",100,83,67,67,111,65,132,73,111
"L104",86,70,61,56,88,59,106,62,91
"L105",90,75,66,63,100,60,120,68,100
"L106",102,96,75,75,114,71,129,85,115
"L107",107,111,105,102,120,94,138,100,122
"L108",109,98,70,70,116,68,137,87,119
"L109",94,84,70,69,102,67,122,79,103
"L110",90,81,66,70,99,68,118,71,99
"L111",91,83,68,66,102,NA,120,78,101
"L112",92,79,66,67,100,68,118,75,97
"L113",81,78,71,69,89,67,103,70,88
"L114",91,81,67,68,110,60,127,72,109
"L115",98,84,65,72,114,64,131,75,111
"L116",99,96,71,72,108,70,122,82,105
"L117",119,107,76,77,139,73,159,95,136
"L118",79,69,71,67,85,68,103,65,83
"L119",123,109,75,78,130,72,151,96,130
"L120",86,82,78,75,97,75,111,79,95
"L121",90,88,62,62,102,58,114,77,102
"L122",90,75,67,66,101,68,121,68,99
"L123",92,77,66,66,103,68,122,69,101
